measurement_id,time_diff_ns,cycles_diff,zero_diff
163,39,98,0
164,39,98,0
165,40,98,0
166,40,100,0
167,40,98,0
168,39,98,0
169,39,99,0
170,40,99,0
171,40,101,0
172,40,99,0
173,39,97,0
174,39,97,0
175,40,99,0
176,40,101,0
177,40,96,0
178,38,98,0
179,39,98,0
180,40,100,0
181,39,99,0
182,39,99,0
183,39,99,0
184,39,99,0
185,40,99,0
186,40,97,0
187,41,99,0
188,40,99,0
189,40,99,0
190,39,99,0
191,40,100,0
192,39,100,0
193,38,99,0
194,39,101,0
195,40,98,0
196,40,97,0
197,40,98,0
198,38,98,0
199,39,100,0
200,40,99,0
201,40,99,0
202,40,99,0
203,40,99,0
204,40,97,0
205,39,97,0
206,40,101,0
207,39,96,0
208,39,98,0
209,39,96,0
210,39,98,0
211,40,98,0
212,40,96,0
213,40,98,0
214,38,100,0
215,39,98,0
216,39,99,0
217,39,97,0
218,39,97,0
219,40,99,0
220,39,99,0
221,40,99,0
222,40,95,0
223,40,101,0
224,40,100,0
225,39,97,0
226,40,97,0
227,41,99,0
228,39,99,0
229,39,99,0
230,38,99,0
231,39,97,0
232,40,101,0
233,39,98,0
234,39,98,0
235,39,98,0
236,38,98,0
237,39,98,0
238,40,98,0
239,38,98,0
240,39,98,0
241,39,98,0
242,40,98,0
243,40,100,0
244,38,98,0
245,39,98,0
246,39,96,0
247,39,98,0
248,40,98,0
249,39,100,0
250,39,95,0
251,39,97,0
252,39,101,0
253,40,98,0
254,40,98,0
255,40,100,0
256,40,97,0
257,40,99,0
258,39,97,0
259,40,99,0
260,39,97,0
261,39,97,0
262,38,96,0
263,39,98,0
264,38,100,0
265,38,99,0
266,41,97,0
267,39,99,0
268,39,99,0
269,40,99,0
270,40,97,0
271,40,99,0
272,39,101,0
273,39,100,0
274,38,99,0
275,39,100,0
276,39,97,0
277,39,99,0
278,38,97,0
279,39,99,0
280,40,101,0
281,39,96,0
282,39,100,0
283,40,99,0
284,40,99,0
285,40,101,0
286,39,99,0
287,39,99,0
288,40,97,0
289,39,97,0
290,40,97,0
291,39,97,0
292,40,97,0
293,39,97,0
294,38,97,0
295,39,101,0
296,39,96,0
297,40,96,0
298,40,98,0
299,39,98,0
300,39,98,0
301,39,96,0
302,39,98,0
303,40,98,0
304,40,98,0
305,39,98,0
306,38,98,0
307,38,98,0
308,40,96,0
309,40,98,0
310,39,98,0
311,40,98,0
312,40,98,0
313,39,96,0
314,38,98,0
315,39,96,0
316,40,98,0
317,40,98,0
318,39,100,0
319,40,98,0
320,39,99,0
321,39,97,0
322,39,99,0
323,40,99,0
324,38,99,0
325,39,99,0
326,39,99,0
327,39,99,0
328,40,97,0
329,38,99,0
330,39,97,0
331,39,99,0
332,40,99,0
333,39,99,0
334,38,97,0
335,40,98,0
336,39,97,0
337,39,101,0
338,39,99,0
339,39,99,0
340,39,99,0
341,39,99,0
342,60,101,0
343,38,98,0
344,38,99,0
345,39,98,0
346,40,97,0
347,39,98,0
348,38,98,0
349,39,100,0
350,40,97,0
351,39,98,0
352,39,96,0
353,39,100,0
354,39,97,0
355,39,99,0
356,40,99,0
357,39,99,0
358,41,97,0
359,39,97,0
360,40,101,0
361,39,100,0
362,39,97,0
363,39,101,0
364,40,98,0
365,40,98,0
366,39,98,0
367,39,98,0
368,39,100,0
369,39,97,0
370,39,97,0
371,38,99,0
372,38,97,0
373,40,99,0
374,40,97,0
375,40,97,0
376,41,95,0
377,40,98,0
378,40,96,0
379,40,96,0
380,40,98,0
381,39,98,0
382,39,98,0
383,39,98,0
384,39,98,0
385,38,98,0
386,39,100,0
387,40,99,0
388,40,99,0
389,40,99,0
390,39,99,0
391,40,99,0
392,41,99,0
393,39,101,0
394,39,97,0
395,39,101,0
396,39,98,0
397,39,98,0
398,39,98,0
399,40,98,0
400,38,98,0
401,41,96,0
402,38,98,0
403,40,96,0
404,39,98,0
405,39,98,0
406,39,98,0
407,40,97,0
408,39,97,0
409,40,97,0
410,41,97,0
411,38,99,0
412,40,97,0
413,40,99,0
414,39,99,0
415,40,99,0
416,40,97,0
417,39,99,0
418,39,97,0
419,40,97,0
420,39,103,0
421,40,98,0
422,39,98,0
423,40,97,0
424,39,97,0
425,40,101,0
426,39,98,0
427,40,98,0
428,38,96,0
429,39,98,0
430,39,98,0
431,40,100,0
432,39,98,0
433,39,100,0
434,40,99,0
435,39,97,0
436,38,97,0
437,41,99,0
438,38,99,0
439,40,101,0
440,38,99,0
441,39,99,0
442,40,97,0
443,39,101,0
444,40,96,0
445,38,98,0
446,38,100,0
447,40,97,0
448,39,97,0
449,38,97,0
450,40,100,0
451,39,101,0
452,39,98,0
453,40,98,0
454,40,98,0
455,38,98,0
456,40,100,0
457,39,97,0
458,39,97,0
459,40,99,0
460,39,99,0
461,40,99,0
462,40,101,0
463,39,99,0
464,40,97,0
465,39,101,0
466,39,98,0
467,39,98,0
468,39,98,0
469,40,100,0
470,39,100,0
471,39,99,0
472,41,97,0
473,39,97,0
474,40,97,0
